code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,is_withdrawn,total_clicks,avg_clicks,last_interaction_day,active_days,avg_score,max_score,total_assessments,total_submitted,assessment_completion_rate,module_presentation_length,risk_label,low_engagement,low_score
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-92.0,12.0,1,281.0,3.697368421052632,12.0,12.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-180.0,96.0,1,171.0,3.1666666666666665,96.0,11.0,67.0,68.0,2.0,2.0,1.0,268,1,1,1
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,-50.0,,0,116.0,1.6111111111111112,213.0,14.0,48.5,67.0,4.0,4.0,1.0,268,1,1,1
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-170.0,72.0,1,339.0,3.323529411764706,55.0,24.0,74.0,74.0,1.0,1.0,1.0,268,1,1,0
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,5.0,175.0,1,465.0,3.206896551724138,150.0,33.0,60.0,67.0,3.0,3.0,1.0,268,1,1,1
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-197.0,135.0,1,1011.0,3.3366336633663365,135.0,83.0,81.0,85.0,3.0,3.0,1.0,268,1,0,0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,-29.0,30.0,1,57.0,2.28,24.0,10.0,0.0,0.0,0.0,0.0,0.0,268,1,1,1
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,-32.0,144.0,1,287.0,2.63302752293578,97.0,24.0,61.5,72.0,2.0,2.0,1.0,268,1,1,1
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,-110.0,129.0,1,143.0,3.25,109.0,9.0,45.0,45.0,1.0,1.0,1.0,268,1,1,1
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,-132.0,,0,597.0,3.109375,255.0,32.0,50.0,62.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-92.0,,0,611.0,2.679824561403509,219.0,74.0,73.75,77.0,4.0,4.0,1.0,268,1,0,0
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-138.0,58.0,1,155.0,3.7804878048780486,59.0,9.0,52.0,52.0,1.0,1.0,1.0,268,1,1,1
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-174.0,158.0,1,1864.0,3.3646209386281587,157.0,106.0,72.0,78.0,3.0,3.0,1.0,268,1,0,0
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-64.0,191.0,1,908.0,3.706122448979592,187.0,44.0,80.0,85.0,2.0,2.0,1.0,268,1,0,0
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,-46.0,123.0,1,1185.0,3.703125,116.0,66.0,66.5,68.0,2.0,2.0,1.0,268,1,0,1
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,-57.0,,0,138.0,2.76,242.0,17.0,37.6,51.0,5.0,5.0,1.0,268,1,1,1
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,-39.0,60.0,1,487.0,3.358620689655172,66.0,20.0,76.0,76.0,1.0,1.0,1.0,268,1,1,0
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,-12.0,,0,427.0,4.313131313131313,39.0,15.0,74.0,74.0,1.0,1.0,1.0,268,1,1,0
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,-57.0,60.0,1,1434.0,3.648854961832061,60.0,49.0,76.0,76.0,1.0,1.0,1.0,268,1,0,0
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-45.0,185.0,1,1905.0,5.411931818181818,183.0,58.0,50.0,50.0,1.0,1.0,1.0,268,1,0,1
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-73.0,166.0,1,1418.0,4.774410774410774,143.0,47.0,66.66666666666667,70.0,3.0,3.0,1.0,268,1,0,1
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,-51.0,,0,333.0,2.8461538461538463,215.0,32.0,56.66666666666666,67.0,3.0,3.0,1.0,268,1,1,1
AAA,2013J,227517,M,Ireland,HE Qualification,Unknown,0-35,0,180,N,Fail,-172.0,,0,1205.0,3.1136950904392764,262.0,69.0,62.6,67.0,5.0,5.0,1.0,268,1,0,1
