feature,importance
last_interaction_day,0.8871802463801239
avg_score,0.0703733705052021
total_submitted,0.015474406628627299
total_assessments,0.010920211741319163
code_module_EEE,0.003585498756856556
code_module_BBB,0.00337961316256729
code_module_FFF,0.0026610601634382137
total_clicks,0.0024508931632722516
max_score,0.0024208731832295305
active_days,0.0014909545128078147
avg_clicks,6.287180255596906e-05
studied_credits,0.0
num_of_prev_attempts,0.0
assessment_completion_rate,0.0
code_module_CCC,0.0
code_module_DDD,0.0
code_module_GGG,0.0
highest_education_HE Qualification,0.0
highest_education_Lower Than A Level,0.0
highest_education_No Formal quals,0.0
highest_education_Post Graduate Qualification,0.0
age_band_35-55,0.0
age_band_55<=,0.0
imd_band_10-20,0.0
imd_band_20-30%,0.0
imd_band_30-40%,0.0
imd_band_40-50%,0.0
imd_band_50-60%,0.0
imd_band_60-70%,0.0
imd_band_70-80%,0.0
imd_band_80-90%,0.0
imd_band_90-100%,0.0
imd_band_Unknown,0.0
disability_Y,0.0
gender_M,0.0
